distance,robot_vel,angle,rpm,cost
2.4322,1.0102,73.3409,2398.32,0.116566
2.4322,1.1939,76.3183,2436.64,0.116258
2.4322,1.3776,76.5388,2361.4,0.115914
2.4322,1.5612,78.193,2346.67,0.115614
2.4322,1.7449,81.1704,2397.07,0.115423
2.4322,1.9286,81.6115,2325.94,0.115107
2.4322,2.1122,83.2657,2314.89,0.114755
2.4322,2.2959,85.0301,2311.07,0.114568
2.4322,2.4796,86.6842,2302.8,0.11421
2.4322,2.6633,88.4486,2302.69,0.114046
2.4322,2.8469,88.8897,2232.47,0.114142
2.4322,3.0306,87.5664,2115.18,0.118228
2.4322,3.2143,87.3459,2060.57,0.122966
2.4322,3.398,87.3459,2023.0,0.132502
2.5169,-4.5,45.0,3758.91,0.130935
2.5169,-4.3163,45.0,3681.79,0.129322
2.5169,-4.1327,45.2206,3613.28,0.128022
2.5169,-3.949,45.0,3533.99,0.126414
2.5169,-3.7653,45.0,3464.02,0.125637
2.5169,-3.5816,45.2206,3400.37,0.124544
2.5169,-3.398,45.0,3330.9,0.123932
2.5169,-3.2143,45.6617,3278.18,0.12357
2.5169,-3.0306,45.1103,3209.25,0.123104
2.5169,-2.8469,45.9925,3160.39,0.123028
2.5169,-2.6633,46.985,3113.5,0.123057
2.5169,-2.4796,47.9774,3067.13,0.12304
2.5169,-2.2959,48.9699,3021.22,0.122976
2.5169,-2.1122,49.9624,2975.75,0.122864
2.5169,-1.9286,51.0652,2932.61,0.122846
2.5169,-1.7449,52.1679,2890.0,0.122776
2.5169,-1.5612,53.2707,2847.87,0.122655
2.5169,-1.3776,54.4837,2808.4,0.122618
2.5169,-1.1939,55.6967,2769.52,0.122528
2.5169,-1.0102,56.9098,2731.18,0.122383
2.5169,-0.8265,58.1228,2693.33,0.122185
2.5169,-0.6429,59.4461,2658.55,0.122063
2.5169,-0.4592,62.3133,2664.9,0.121861
2.5169,-0.2755,63.6366,2632.79,0.121605
2.5169,-0.0918,65.0702,2604.82,0.121438
2.5169,0.0918,66.5038,2577.46,0.121221
2.5169,0.2755,67.9373,2550.67,0.120955
2.5169,0.4592,69.3709,2524.4,0.120644
2.5169,0.6429,70.9148,2503.04,0.120433
2.5169,0.8265,72.4586,2482.48,0.120183
2.5169,1.0102,74.0025,2462.7,0.119896
2.5169,1.1939,75.5464,2443.66,0.119575
2.5169,1.3776,77.2005,2430.71,0.119385
2.5169,1.5612,78.7444,2413.33,0.119007
2.5169,1.7449,80.3985,2402.58,0.118777
2.5169,1.9286,80.7293,2329.25,0.118528
2.5169,2.1122,82.3835,2317.54,0.118184
2.5169,2.2959,84.1479,2312.67,0.117989
2.5169,2.4796,85.802,2303.72,0.117632
2.5169,2.6633,87.5664,2302.42,0.117451
2.5169,2.8469,88.0075,2235.89,0.117818
2.5169,3.0306,88.2281,2170.84,0.119075
2.5169,3.2143,88.2281,2110.83,0.121764
2.5169,3.398,88.0075,2058.24,0.126841
2.5169,3.5816,87.8972,2020.04,0.136754
2.6017,-4.5,45.0,3789.78,0.13431
2.6017,-4.3163,45.0,3712.25,0.132759
2.6017,-4.1327,45.0,3637.09,0.131013
2.6017,-3.949,45.0,3564.54,0.12992
2.6017,-3.7653,45.3308,3502.05,0.128976
2.6017,-3.5816,45.0,3425.9,0.127785
2.6017,-3.398,45.6617,3372.82,0.127437
2.6017,-3.2143,45.2206,3300.52,0.126642
2.6017,-3.0306,46.1028,3251.97,0.126592
2.6017,-2.8469,45.5514,3184.33,0.126288
2.6017,-2.6633,46.4336,3135.74,0.126195
2.6017,-2.4796,47.4261,3089.06,0.126203
2.6017,-2.2959,48.4185,3042.91,0.126166
2.6017,-2.1122,49.411,2997.24,0.126084
2.6017,-1.9286,50.5138,2953.79,0.126093
2.6017,-1.7449,51.6165,2910.92,0.126053
2.6017,-1.5612,52.7193,2868.58,0.125963
2.6017,-1.3776,53.8221,2826.75,0.125823
2.6017,-1.1939,56.5789,2819.46,0.125739
2.6017,-1.0102,57.792,2782.21,0.125588
2.6017,-0.8265,57.4612,2710.79,0.125489
2.6017,-0.6429,60.3283,2712.03,0.125267
2.6017,-0.4592,61.6516,2679.24,0.125095
